Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.03     0.00        1     0.00     0.00  rand_func::write_file(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      0.03     0.00        1     0.00     0.00  rand_func::generate_expr(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
  0.00      0.03     0.00        1     0.00     0.00  rand_func::Main()
  0.00      0.03     0.00        1     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::capacity() const
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<token, std::allocator<token> >::_Vector_impl::_Vector_impl()
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<token, std::allocator<token> >::_Vector_impl::~_Vector_impl()
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<token, std::allocator<token> >::_M_deallocate(token*, unsigned long long)
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<token, std::allocator<token> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<token, std::allocator<token> >::_Vector_base()
  0.00      0.03     0.00        1     0.00     0.00  std::_Vector_base<token, std::allocator<token> >::~_Vector_base()
  0.00      0.03     0.00        1     0.00     0.00  std::__new_allocator<token>::~__new_allocator()
  0.00      0.03     0.00        1     0.00     0.00  std::vector<token, std::allocator<token> >::vector()
  0.00      0.03     0.00        1     0.00     0.00  std::vector<token, std::allocator<token> >::~vector()
